hour,wet_bulb_temp
0,23.653676987821584
1,23.562771397442727
2,23.366148181937767
3,23.252452656645325
4,23.155032979153898
5,22.941057267133466
6,22.845237079590444
7,22.947621307674236
8,23.377875446485604
9,23.907814425353063
10,24.32467585323036
11,24.487602226126494
12,24.71421940623402
13,24.89554579619893
14,24.985478541159715
15,25.00737842346855
16,24.890448458054205
17,24.69895847638329
18,24.56227052082571
19,24.40498386762909
20,24.209900413421067
21,24.114997699817565
22,24.023447915785724
23,23.84894724627264
