hour,wet_bulb_temp
0,24.28600339119036
1,24.113457815148916
2,23.902734480604572
3,23.721431781551765
4,23.57550864845787
5,23.38589410516754
6,23.213485634060365
7,23.276655984386302
8,23.831397904634795
9,24.665862008414674
10,25.17992954334792
11,25.51373371225952
12,25.756035743197607
13,25.98957777702581
14,26.195676345925992
15,26.165359826583714
16,26.04642638986757
17,25.795018435623543
18,25.4783258740375
19,25.21567749145474
20,25.02118722387046
21,24.8633317587634
22,24.698306835657004
23,24.514624243464905
