hour,wet_bulb_temp
0,21.984732180370372
1,23.164931204313262
2,23.315187065007162
3,22.97431257229243
4,21.81290815029247
5,20.85270882522579
6,21.09207527117666
7,20.998649682083652
8,21.613632787613
9,22.167570050717107
10,22.769823591123156
11,23.268702565399895
12,23.614859711409203
13,23.855368738894736
14,23.923508974253277
15,23.866159967848066
16,23.64423548163728
17,23.39871136935735
18,23.056805916267002
19,22.80930059203766
20,22.44915268499741
21,22.17774388407938
22,21.796734653492404
23,21.81900974516466
