hour,wet_bulb_temp
0,24.668157839108307
1,24.523799593516063
2,24.297447509562502
3,24.22636794696487
4,24.084774564236643
5,23.896424867005106
6,23.933571574674524
7,24.21239551889991
8,24.708945173631307
9,25.19106606154341
10,25.339269689879295
11,25.37335269722231
12,25.492699379138735
13,25.572677897538235
14,25.533090405422893
15,25.4907112959702
16,25.330476839988137
17,25.092835433813743
18,24.980884184973235
19,24.9270678296369
20,24.87275006945655
21,24.910868597716675
22,24.870072559409426
23,24.71675389010643
