hour,wet_bulb_temp
0,24.132383641669637
1,23.28022343464787
2,23.51205444149688
3,23.590121267917002
4,24.318008578016297
5,23.51889308017027
6,23.588148897187665
7,23.714341738881604
8,24.318164566181807
9,24.802397278084538
10,25.081586223593078
11,25.35694488212868
12,25.56153561230597
13,25.64405570219987
14,25.626816235951868
15,25.61209636381544
16,25.520042202076375
17,25.27744710347111
18,25.05499829015655
19,24.871219741025147
20,24.62984921187415
21,24.546796299474106
22,24.415961860165037
23,24.135781956948968
