hour,wet_bulb_temp
0,23.51287455618575
1,25.423194346850867
2,24.770577047363034
3,24.01099772023228
4,24.38051799768109
5,22.358030909626066
6,19.248732597765475
7,20.489240917603784
8,20.87093550527293
9,21.609384648462406
10,22.158444575714228
11,22.47194416768868
12,22.865821161664382
13,22.8299250272794
14,22.890809943693206
15,22.769937325378493
16,22.70980291584026
17,22.577013941979118
18,22.124686015744945
19,22.54992030883855
20,21.796150966825074
21,21.72428025627279
22,21.680074251104994
23,23.243472802802312
