hour,wet_bulb_temp
0,23.264591687013667
1,23.17606197135962
2,22.96503727585776
3,22.951059746021443
4,22.77192696960243
5,22.543174085310717
6,22.560703991912714
7,22.663194004835578
8,22.89466097259
9,23.242507636144456
10,23.46251198753898
11,23.772525635479635
12,23.995832416829515
13,24.17751644934697
14,24.283586546255858
15,24.199759503813777
16,24.097926751776473
17,23.96523650175145
18,23.8023752228103
19,23.68870180521216
20,23.615198921926268
21,23.556653367521847
22,23.455624319226747
23,23.287175429656532
