hour,wet_bulb_temp
0,23.73492063726647
1,23.170488381000567
2,22.9272760295534
3,22.33900095340995
4,22.322790204293707
5,22.733468319187434
6,22.64122954832916
7,22.8399796850306
8,23.160982180252045
9,23.542332673833158
10,23.8757185748401
11,24.16714541351962
12,24.336181540866246
13,24.44839292379817
14,24.486024913855353
15,24.486072221287067
16,24.393063927331504
17,24.263489360674377
18,24.11564647134722
19,24.010658275305065
20,23.89509523158832
21,23.69410423403134
22,23.51369379660326
23,23.417015722246912
