hour,wet_bulb_temp
0,14.539364156810885
1,18.8207718762109
2,14.936160447840106
3,15.364829848637601
4,19.194583365570335
5,18.130222274753603
6,17.05327231529469
7,16.84980723457069
8,17.787380207884045
9,18.036826986820408
10,18.892772566334934
11,19.32690419256543
12,19.488975564298144
13,19.300383728657927
14,19.84487952863513
15,18.560751872528986
16,18.458178800472673
17,18.436416546279702
18,17.56997069142214
19,17.101480474883587
20,16.977409503016546
21,17.292234066567342
22,17.806064295269667
23,18.101094476866074
