hour,wet_bulb_temp
0,24.06011187220972
1,23.869839307723694
2,23.732820258782706
3,23.651952584305747
4,23.549353060732237
5,23.401035662419986
6,23.4122637344913
7,23.7338816776209
8,24.309483196488987
9,24.586971261534178
10,24.69895378666798
11,24.859698663265654
12,25.01406625323488
13,25.10114121277771
14,25.0413494446393
15,24.943009651365752
16,24.790276972684588
17,24.653565155051975
18,24.539772596963328
19,24.480278095393622
20,24.46283994263571
21,24.399287881707316
22,24.310944108859736
23,24.200562607380043
