hour,wet_bulb_temp
0,22.354298287882724
1,22.21804827584785
2,22.114807331638826
3,21.950805669172347
4,21.825980591128978
5,21.783165318505496
6,22.015158456450017
7,22.502665421046842
8,23.1940915019832
9,23.571902297273652
10,23.829728386717697
11,24.056428214637823
12,24.105959625358686
13,24.11544908254482
14,24.096995266300613
15,23.93331854519658
16,23.756032758292925
17,23.526674517566295
18,23.243941124336363
19,23.010714299384972
20,22.816573539958945
21,22.67348180778684
22,22.570767237203814
23,22.465649314580546
