hour,wet_bulb_temp
0,23.666218848873783
1,23.510390851212897
2,23.367276598603155
3,23.207846250644064
4,23.045874506809778
5,22.83774885863177
6,22.674227670313364
7,22.794909971601584
8,23.373593266509758
9,23.978641044214537
10,24.434476876349358
11,24.70848342599146
12,24.884927234665685
13,25.0062645655074
14,25.049845351613982
15,24.99962699837486
16,24.83366588065512
17,24.590474348309172
18,24.328757602033573
19,24.165956262652056
20,24.064923350696873
21,23.970023210722708
22,23.92065224015277
23,23.801992645270072
