hour,wet_bulb_temp
0,23.451911157346917
1,24.8452794547119
2,24.97463292484271
3,24.36562160903218
4,24.602634134421045
5,24.122195871822772
6,23.30862534792285
7,23.630874535902546
8,24.141849902073222
9,24.63002144182782
10,24.970789740419544
11,25.245396742530595
12,25.44678186404729
13,25.591412117434928
14,25.633063618475603
15,25.59262534371353
16,25.472917798493526
17,25.23607997476386
18,24.948231315535715
19,24.620679849379357
20,24.388380453281957
21,24.275843047644052
22,24.222126170973553
23,23.616492059631113
