hour,wet_bulb_temp
0,24.110346707917845
1,23.98962222271781
2,23.766492019016308
3,23.64655540394209
4,23.510961381895115
5,23.346773527786414
6,23.240189861933292
7,23.37896383212196
8,23.997792211265054
9,24.567398703690344
10,24.97420232340684
11,25.220944977583624
12,25.364823421107783
13,25.52018210937168
14,25.606269525721082
15,25.56705380732681
16,25.397790395650382
17,25.148640378901344
18,24.842529047169364
19,24.62470386747509
20,24.498588583180016
21,24.386004316292457
22,24.28265138328636
23,24.193469192630882
