hour,wet_bulb_temp
0,23.801208626477777
1,23.630945363062956
2,23.480741418389087
3,23.31050488958488
4,23.16886728290507
5,23.117965867556048
6,23.05440141327905
7,23.178792836670702
8,23.50889237402469
9,23.82150679614908
10,24.114272890169794
11,24.458803673432158
12,24.60621788943264
13,24.8383550670405
14,24.86998661869242
15,24.920749734872363
16,24.83561946159935
17,24.763560545312146
18,24.616168789264762
19,24.50663234387447
20,24.499848990765436
21,24.348176023904397
22,24.223890586371468
23,24.04789932609212
